aluminium,ammonia,arsenic,barium,,chloramine,chromium,copper,flouride,bacteria,viruses,,,,mercury,,radium,,silver,uranium,outcome
1.65,09.08,0.04,2.85,,0.35,0.83,0.17,0.05,0.2,0,,,,7,,6.78,,0.34,0.02,1
2.32,21.16,0.01,3.31,,5.28,0.68,0.66,0.9,0.65,0.65,,,,3,,3.21,,0.27,0.05,1
01.01,14.02,0.04,0.58,,4.24,0.53,0.02,0.99,0.05,3,,,,6,,07.07,,0.44,0.01,0
1.36,11.33,0.04,2.96,,7.23,0.03,1.66,01.08,0.71,0.71,,,,4,,1.72,,0.45,0.05,1
0.92,24.33,0.03,0.2,,2.67,0.69,0.57,0.61,0.13,1,,,,3,,2.41,,0.06,0.02,1
0.94,14.47,0.03,2.88,,0.8,0.43,1.38,0.11,0.67,0.67,,,,6,,5.42,,0.19,0.02,1
2.36,5.6,0.01,1.35,,1.28,0.62,1.88,0.33,0.13,7,,,,7,,2.84,,0.24,0.08,0
3.93,19.87,0.04,0.66,,6.22,0.1,1.86,0.86,0.16,5,,,,1,,7.24,,0.08,0.07,0
0.6,24.58,0.01,0.71,,3.14,0.77,1.45,0.98,0.35,2,,,,4,,4.99,,0.25,0.08,1
0.22,16.76,0.02,1.37,,6.4,0.49,0.82,1.24,0.83,0.83,,,,0.01,,0.08,,0.31,0.01,1
3.27,3.6,1,2.69,,5.75,0.15,0.6,1.29,0.04,8,,,,6,,7.8,,0.33,0.06,0
1.35,21.96,0.04,0.84,,0.1,0.76,0.17,0.58,0.52,0.52,,,,9,,1.3,,0.48,0.08,1
1.88,19.26,0.02,2.78,,0.05,0.42,1,0.09,0.91,0.91,,,,6,,1.97,,0.06,0.05,1
4.93,23.98,0.04,03.05,,0.7,0.51,1.35,01.07,0.7,0.7,,,,8,,5.58,,0.38,0.03,1
2.89,18.82,0.05,3.77,,5.99,0.54,0.79,0.54,0.2,9,,,,9,,4.33,,0.05,0.02,1
0.61,2.41,0.03,0.59,,1.94,0.77,1.54,0.62,0.23,1,,,,7,,0.98,,0.47,0.03,1
3.47,15.84,0.02,0.06,,5.29,0.47,01.08,1.43,0.89,0.89,,,,8,,6.89,,0.12,0.08,1
2.11,17.03,0.02,0.88,,7.78,0.88,1.15,0.34,0.85,0.85,,,,3,,1.14,,0.4,0.01,1
4.88,26.94,0.02,0.36,,1.21,0.68,0.71,0.99,0.75,0.75,,,,2,,1,,0.41,0.05,0
4.12,17.99,0.02,3.43,,0.01,0.41,1.82,0.22,0.99,0.99,,,,5,,0.88,,0.1,0.07,1
0.68,18.99,1,0.04,,4.57,0.2,1.18,1,0.92,0.92,,,,7,,03.05,,0.13,0.08,1
1.15,8.12,0.02,0.97,,3.47,0.65,1.51,1.46,0.58,0.58,,,,4,,1.74,,0.01,0.06,1
